image_name,diameter,cellprob_threshold,flow_threshold,raw_image_dice_binary,raw_image_iou_binary,raw_n_pred_instances,raw_n_gt_instances,post_image_dice_binary,post_image_iou_binary,post_n_pred_instances,post_n_gt_instances,out_dir
jw-15min 1_c1,40,-2.0,0.3,0.730101917638819,0.5749295378738634,42,29,0.7299179599844826,0.5747014263547611,42,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d40_cp-2.0_ft0.3
jw-15min 1_c1,40,-2.0,0.5,0.7303704215680824,0.57526260727963,49,29,0.7301904180364253,0.5750393038516,49,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d40_cp-2.0_ft0.5
jw-15min 1_c1,40,0.0,0.3,0.7641435881308515,0.6183109791655622,46,29,0.7639022377514748,0.6179950009470914,46,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d40_cp0.0_ft0.3
jw-15min 1_c1,40,0.0,0.5,0.7567474626555781,0.6086836261536895,49,29,0.7564565384992668,0.6083072782887377,49,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d40_cp0.0_ft0.5
jw-15min 1_c1,40,2.0,0.3,0.755512953729584,0.6070878407242318,45,29,0.7555588954404309,0.6071471704623879,45,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d40_cp2.0_ft0.3
jw-15min 1_c1,40,2.0,0.5,0.7531389264349665,0.6040279405640491,46,29,0.7531756648295789,0.6040752041679005,46,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d40_cp2.0_ft0.5
jw-15min 1_c1,55,-2.0,0.3,0.7398012970487102,0.5870513081120872,45,29,0.7396566904743503,0.5868692164143212,45,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d55_cp-2.0_ft0.3
jw-15min 1_c1,55,-2.0,0.5,0.7348650927487352,0.5808590756106501,47,29,0.7347202976948072,0.5806781665399611,47,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d55_cp-2.0_ft0.5
jw-15min 1_c1,55,0.0,0.3,0.762507751265259,0.6161717392936206,46,29,0.7621615503070467,0.615719725377816,46,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d55_cp0.0_ft0.3
jw-15min 1_c1,55,0.0,0.5,0.762507751265259,0.6161717392936206,46,29,0.7621615503070467,0.615719725377816,46,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d55_cp0.0_ft0.5
jw-15min 1_c1,55,2.0,0.3,0.7506893686013334,0.6008828787127974,44,29,0.7505804114782741,0.6007432718149852,44,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d55_cp2.0_ft0.3
jw-15min 1_c1,55,2.0,0.5,0.752000495917536,0.6025647393749654,45,29,0.7519075828020602,0.6024454378868421,45,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d55_cp2.0_ft0.5
jw-15min 1_c1,70,-2.0,0.3,0.7414319783386771,0.5891075933742376,44,29,0.7412961256849149,0.5889360800516213,44,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d70_cp-2.0_ft0.3
jw-15min 1_c1,70,-2.0,0.5,0.7339549747567572,0.5797226481860263,47,29,0.733817687087075,0.5795513644467875,47,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d70_cp-2.0_ft0.5
jw-15min 1_c1,70,0.0,0.3,0.7633635500893936,0.6172901907788465,46,29,0.7631552976391953,0.6170178812121979,46,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d70_cp0.0_ft0.3
jw-15min 1_c1,70,0.0,0.5,0.7634065642657528,0.6173464472682308,47,29,0.7632112254742455,0.6170910030832857,47,29,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 1_c1/d70_cp0.0_ft0.5
